brand,model,year,trim_version,price,location,mileage,fuel_type,gearbox,body_condition,body_color,interior_color,ad_url,scrape_date,car_age
کی,ام سی، A5,1404,1.5لیترتوربو,1100000000.0,تهران/جمهوری,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-wr3i9ont-kmc-a5-1.5literturbo-1404,2025-06-08 18:53:59.512669,0
فوتون,تونلند G7,1403,بنزینی,1550000000.0,تهران/سهروردی,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-8u9jl0zn-foton-tunlandg7-gas-1403,2025-06-08 18:53:52.117129,1
فونیکس,آریزو 8,1403,اکسلنت,1800000000.0,تهران/جمهوری,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-jxvigcim-fownix-arrizo8-excellent-1403,2025-06-08 18:53:47.888915,1
ام,وی ام، X55 PRO,1404,IE,843500000.0,تهران/استادمعین,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-eao0kw7h-mvm-x55pro-ie-1404,2025-06-08 18:53:39.531514,0
هایما,8S,1404,اتوماتیک,1475000000.0,تهران/دانشگاهشریف,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-mxiesdat-haima-8s-1404,2025-06-08 18:53:35.550792,0
لاماری,ایما,1402,اتوماتیک,2000000000.0,تهران/توحید,0,بنزینی,اتوماتیک,بدون رنگ,خاکستری,داخل مشکی,https://bama.ir/car/detail-ypsntp4u-lamari-eama-1402,2025-06-08 18:53:27.760195,2
فونیکس,تیگو 8 پرو هیبرید,1403,eپلاس,2091000000.0,تهران/دانشگاهشریف,0,هیبریدی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-7vjqhkws-fownix-tiggo8prohybrid-eplus-1403,2025-06-08 18:53:24.332142,1
پیش,فروش کی ام سی، J7,1404,اتوماتیک,1840000000.0,تهران/رسالت,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-gvo1domu-kmc-j7-1404,2025-06-08 18:53:22.585362,0
زامیاد,وانت نیسان,1404,بنزین,228000000.0,تهران/جمهوری,0,بنزینی,دنده‌ای,بدون رنگ,آبی,داخل مشکی,https://bama.ir/car/detail-mouezfir-zamyad-pickup-gas-1404,2025-06-08 18:53:19.026245,0
شاهین,G اتومات,1404,CVT,530000000.0,تهران/سهروردی,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-muxxkywk-shahin-gautomatic-cvt-1404,2025-06-08 18:53:16.884223,0
کی,ام سی، ایگل,1404,1.5لیتر,1050000000.0,تهران/پیروزی,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-zlhdpeyk-kmc-eagle-1.5liter-1404,2025-06-08 18:53:14.434709,0
